country,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Kuwait,,,,0.238,0.491,0.601,0.909,1.1,1.26,1.4,1.51,1.6,1.54,1.48,1.4,1.33,1.3,1.43,2.56,2.9,2.51,2.01
Lao,,,,,,0.00045,0.00088,0.00546,0.0127,0.0191,0.0479,0.0702,0.0942,0.103,0.118,0.138,0.243,0.216,0.357,0.391,0.643,1.06
Lebanon,,,,,0,0,0,0,0,1.05,2.1,4.09,6.68,7.73,8.6,8.12,18.1,,,,,6.13
Liberia,,,,,,,,,,,0.00305,0.004,0.00478,0.00157,0.0127,0.12,0.138,0.157,0.174,0.191,,
Libya,,,,,,,,,,,0.763,1.03,1.17,1.12,1.07,1.02,0.987,0.95,2.6,4.83,,
St. Lucia,,,,,,0.872,2.35,4.28,4.34,6.61,9.13,10.8,11.8,12.2,13.9,13.9,15.8,15.9,16.5,17.6,17.7,
Liechtenstein,,,,,4.24,4.39,13.8,24.8,28.6,40.3,43.8,44.7,42.4,37.5,39.4,40.7,41.9,41.9,42.3,43,44.1,45.2
Sri Lanka,,,,0.00173,0.00311,0.0178,0.105,0.107,0.116,0.319,0.51,0.843,1.13,1.76,1.72,2.05,2.73,2.99,4.24,5.78,7.27,7.81
Lesotho,,,,,,,0.0011,0.00225,,0.00554,0.00705,0.0201,0.02,0.0668,0.0812,0.112,0.0735,0.1,0.107,0.231,0.273,0.298
Lithuania,,,,0.0699,0.581,1.96,3.82,7,11.2,17.2,18.4,20,21.7,23.6,25.2,27.8,27,28.4,29.7,28.1,28.2,28.7
Luxembourg,,,,0.276,1.31,3.43,8.08,15.3,21.2,27.1,29.5,31.4,33.2,32.7,32,32.5,33.7,34.5,35.1,36.3,37.1,37.4
Latvia,,,0.0119,0.137,0.429,0.847,2.16,2.7,4.93,15.4,19,21.2,20.5,21.8,23,24.3,25,25.2,26.3,27,27.3,26.7
"Macao, China",,,0.872,2.24,3.78,6.04,9.59,14.1,18.7,21.9,23.6,24,24.5,25,25.6,26.3,27.4,28.2,29,29.9,30.6,
Morocco,,,,,0.00679,0.00911,0.215,0.818,1.27,1.53,1.56,1.5,1.56,1.82,2.07,2.5,2.91,3.31,3.57,3.88,4.31,4.8
Monaco,,,2.49,8.19,14.9,19.7,22.7,28.1,32.2,35.6,37.3,38,38.8,44.2,44.6,45.8,47.7,48.7,48.9,50.2,51.2,52.6
Moldova,,,,0.00571,0.01,0.0143,0.0583,0.25,0.526,1.28,2.8,4.58,6.63,8.74,10.3,11.5,12.5,13.1,13.7,14.4,15.4,16.6
Madagascar,,,,,,,,,0.00721,0.0121,0.0174,0.0222,0.0255,0.0315,0.139,0.165,0.105,0.0978,0.106,0.098,0.104,
Maldives,,,,,0.0646,0.166,0.23,1.02,1.92,3.1,4.47,4.35,4.25,4.64,4.55,4.9,4.56,5.09,6.16,7.36,9.24,9.98
Mexico,,,0.0152,0.0498,0.228,0.416,1.01,1.81,2.81,4.13,6.8,8.57,9.28,10,11.2,10.7,10.8,12.1,12.9,13.6,14.5,15.2
Marshall Islands,,,,,,,,,,,,,,,,2.26,2.4,1.74,1.73,1.72,,
North Macedonia,,,,,,,,0.604,1.77,4.87,8.76,11.3,12.5,13.6,15.1,16.3,17,17.5,18.3,19,20.5,21.8
Mali,,,,,,,,,0.0234,0.0234,0.0374,0.0565,0.0533,0.0547,0.027,0.0177,,0.0201,0.119,0.0832,0.634,0.725
Malta,,,0.421,2.31,4.43,5.67,9.34,12.7,13,20.6,24,27.6,30.4,30.8,32.2,33.6,35.2,37.6,39.3,41.4,43.7,46
Myanmar,,,,,,,,0.0005,0.00803,0.013,0.02,0.0462,0.0454,0.043,,,,0.0625,0.169,0.209,0.24,
Montenegro,,,,,,,,1.24,,2.88,6.4,9.52,10.4,10.3,14,15.3,16.6,17.9,18.3,21.9,25.3,28.5
Mongolia,,,,0.00203,0.00368,0.0203,0.036,0.0712,0.137,0.285,1.23,1.5,2.82,3.39,3.9,4.85,6.71,6.94,7.4,9.16,9.66,9.84
Mozambique,,,,,,,,,0.0104,0.0294,0.05,0.06,0.0736,0.117,0.118,0.113,0.141,0.157,0.167,0.215,0.238,0.23
Mauritania,,,,,,,,0.00542,0.0313,0.125,0.178,0.2,0.166,0.17,0.181,0.197,0.204,0.238,0.268,0.295,0.3,0.239
Mauritius,,,,,0.0237,0.0979,0.211,0.442,2.27,2.85,4.24,5.86,7.53,9.45,11.2,12.9,14.5,15.7,16.8,19.5,21.7,24.2
Malawi,,,,,,0.00057,0.00112,0.0032,,0.007,0.00718,0.00732,0.00746,0.0116,0.00804,0.0554,0.0526,0.035,0.0505,0.0612,0.0626,0.061
Malaysia,,,,0.0169,0.0797,0.447,1,1.88,2.87,3.87,4.88,5.6,7.44,8.75,10,9.97,10.2,10.1,8.86,8.64,8.55,9.28
Namibia,,,,,,,,0.00691,0.01,0.0128,0.0157,0.0229,0.445,0.817,1.1,1.6,1.81,3.04,2.73,2.74,2.53,2.54
New Caledonia,,,,0.0596,0.31,0.728,2.21,4.06,6.5,8.35,10.3,13.2,15.1,16.6,18.4,20.3,21.8,20.4,,,,
Niger,,,,,,,0.00059,0.00156,0.00245,0.00328,0.00405,0.00631,0.00911,0.0123,0.0206,0.0346,0.156,0.136,0.0371,0.04,,
Nigeria,,,,,,,,0.00036,,0.0366,0.0451,0.0531,0.0625,,0.00854,0.00876,0.00892,0.00866,0.058,0.0581,0.0378,0.0415
Nicaragua,,,0.0138,0.0312,0.0444,0.0832,0.0932,0.194,0.345,0.493,0.762,1.37,1.26,1.44,1.69,2.17,1.81,1.87,2.81,3.29,2.98,3.32
Netherlands,0.479,,1.63,2.91,7.27,12.3,19.7,25.1,31.6,33.4,35,36.9,37.9,38.8,39.6,40.3,40.6,41.5,42.5,42.8,43.4,43.6
Curaçao,,,,,,,,,,,,,,20.9,23,23.6,24.4,25,26.5,30.5,31.8,32.6
Norway,,,0.518,1.96,4.52,8.73,14.6,21.4,26.6,30.9,33.1,34.6,35.3,36.1,37.1,37.6,38.4,39.4,40.1,40.9,41.3,42
Nepal,,,,,,,,,0.00369,0.0415,0.045,0.0635,0.223,0.35,0.854,1.16,0.931,1.12,0.822,1.82,2.82,
Nauru,,,,,,,,,,,,,9.5,,,,,,,,,
New Zealand,,,0.121,0.442,1.1,2.06,4.7,7.76,11.2,20.2,21.4,23.6,25,26.7,28.5,29.1,30.9,31.4,32.8,33.7,34.7,
Oman,,,,,0.00415,0.0057,0.0273,0.527,0.777,0.759,1.18,1.43,1.93,2.41,3.24,4.1,4.4,5.47,6.35,7.48,9.17,10.2
Pakistan,,,,,,,,0.00911,0.0162,0.0269,0.0979,0.223,0.44,0.636,0.81,0.851,1.03,0.899,0.807,0.88,0.854,0.813
Panama,,,,0.252,0.389,0.469,0.512,0.527,3.32,4.35,5.58,6.55,7.09,7.63,7.82,8.01,7.95,7.97,10.6,10.7,12.9,12.3
Peru,,0.00029,0.00407,,0.138,0.343,0.824,1.27,1.73,2.01,2.54,2.87,3.21,4.14,4.89,5.42,5.87,6.56,6.86,7.35,7.93,
Philippines,,,,0.0126,0.0258,0.0662,0.105,0.142,0.302,0.555,1.15,1.86,,1.87,2.21,2.6,2.89,2.84,2.88,3.23,3.55,5.48
Palau,,,,,,,0.372,0.506,0.496,0.527,0.593,0.777,1.33,2.92,5.09,10.3,6.3,6.93,,,,
Papua New Guinea,,,,,,,,,,,0.0428,0.0623,0.0834,0.1,0.121,0.145,0.166,0.185,0.206,0.213,,
Poland,,,,0.0311,0.316,0.509,2.28,2.46,7.59,10.9,11.6,14.6,15.3,18.2,18,18.4,19,19.1,19.3,20.1,20.7,20.5
Puerto Rico,,,,0.0661,0.62,1.49,2.37,3.26,4.15,5.04,11.8,13.4,15.4,15.7,16.2,17.2,17.7,20.8,20.9,20.9,20,20.8
Portugal,,0.0029,0.244,0.96,2.51,4.81,8.01,11.1,13.5,14.4,15.4,18,20.1,21.2,22.7,24.5,27.4,30.3,32.7,34.7,36.9,38.8
Paraguay,,,0.00282,0.00553,0.00904,0.00888,0.0532,0.0961,0.101,0.143,0.21,1.26,1.43,1.9,2.12,2.41,2.81,3.22,3.64,4.23,4.61,5.36
Palestine,,,,,,,0.00051,0.209,0.742,1.48,,,,3.76,4.39,4.92,5.31,6.06,6.92,7.58,7.49,7.32
French Polynesia,,,,0.0102,0.0129,0.374,1.78,4.25,6.99,8.98,10.5,11.3,12.1,13.4,14.9,16.6,18.3,19,20.2,20.9,21.5,
Qatar,,,,,0.0356,0.439,1.45,2.96,4.57,7.2,7.39,8.75,7.85,8.09,8.43,9.22,9.17,9.27,9.56,9.42,9.63,10.1
Romania,,,,0.0273,0.0723,0.903,0.483,1.76,5.13,9.28,12.1,13.6,14.7,16.1,17.5,18.8,20,21.4,22.5,24.2,26.1,27.3
Russia,,,,,0.00757,0.237,0.468,1.11,2.02,3.42,6.48,9,10.9,12.3,14.5,16.5,17.2,18.5,18.9,21.4,22,22.5
Rwanda,,,,,,,0.0132,0.0134,0.0188,0.0274,0.0118,0.0226,0.0393,0.084,0.0521,0.0257,0.0263,0.186,0.186,0.182,0.061,0.0704
Saudi Arabia,,,,0.066,0.16,0.205,0.297,0.285,0.891,2.47,4.05,5.4,6.24,6.9,8.71,,,20,19.7,20.1,20.2,19.8
Sudan,,,,,,,0.00212,0.0033,0.00522,0.104,0.107,,0.0391,0.0493,0.0685,0.0693,0.0544,0.0722,0.0662,0.0748,0.075,0.0765
Senegal,,,,,0.0117,0.0226,0.0709,0.163,0.254,0.326,0.395,0.476,0.62,0.711,0.713,0.774,0.729,0.69,0.656,0.725,0.819,0.933
Singapore,0.259,0.759,1.71,3.7,6.58,10.1,13.1,15.4,17.9,20.2,22.4,24.8,26.1,26.8,26.7,27.4,26.7,26.6,28.2,25.9,25.9,25.9
Solomon Islands,,,,,,,0.0436,0.0958,0.135,0.203,0.298,0.388,0.478,0.449,0.383,0.33,0.227,0.235,0.265,0.183,0.228,0.156
El Salvador,,,,,,0.327,0.487,0.699,1.01,1.47,2.01,2.43,2.83,3.32,3.88,4.54,5.07,5.58,6.22,7.06,7.67,
San Marino,,,,,,2.1,3.72,4.16,4.98,5.32,16.1,17.7,19.2,20.7,30.8,31.4,35.5,35,35.8,31.2,32.1,32.7
Somalia,,,,,,,,,,,,,,,0.315,0.459,0.521,0.594,0.649,0.672,,
Serbia,,,,,,,,0.364,1.33,3.58,5.05,6.55,9.56,10.8,11.9,13.2,13.4,14.9,16.4,16.8,17.6,18.5
South Sudan,,,,,,,,,,,,,,,0.00017,0.00097,0.00095,0.0014,0.00138,0.00183,0.00182,0.00181
Sao Tome and Principe,,,,,,,,,0.0773,0.185,0.201,0.252,0.324,0.399,0.413,0.509,0.562,0.659,0.701,0.714,0.738,0.764
Suriname,,,,,0.0195,0.0443,0.0851,0.222,0.526,0.823,1.11,1.73,2.86,4.33,5.41,6.78,8.39,9.42,12.6,12.5,12.7,13.8
Slovak Republic,,,,,0.0756,0.416,1.46,3.36,5.64,10.1,11.2,14.3,16.2,17.6,19.3,20.5,21.9,23.4,24.6,25.8,27.7,29
Slovenia,,,,0.277,2.85,2.92,5.78,9.86,14,17.1,21,22.1,23,24.1,24.8,25.4,26.9,27.5,28.4,29,29.5,30.2
Sweden,,,2.8,6.6,9.42,12.2,15.7,27.9,27.4,30.3,31.4,31.6,31.9,32,32.2,32.7,33.9,35.8,37.4,38.9,39.5,40.2
Eswatini,,,,,,,,,,,0.0735,0.142,0.344,0.748,0.318,0.386,0.466,0.543,0.628,0.711,,
Seychelles,,,,,,,0.399,1.07,2.76,3.88,3.78,5.02,7.44,10.2,11.4,13.3,12.6,14.1,14.7,15.8,20.3,27.6
Syria,,,,,,,0.00337,0.0147,0.0274,0.035,0.0535,0.163,0.327,0.575,1.18,1.77,2.68,4.05,5.78,8.32,7.84,8.73
Chad,,,,,,,,,,,,0.00257,0.00277,0.128,0.152,0.111,0.0741,0.0803,0.0352,0.0022,0.00216,0.00043
Togo,,,,,,,,,,0.0203,0.0314,0.0667,0.424,0.516,0.613,0.0994,0.177,0.902,0.649,0.657,0.332,0.395
Thailand,,,,0.00254,,0.018,0.254,0.849,1.36,1.95,3.12,3.92,4.84,5.77,6.66,7.62,7.95,9.07,10.5,11.9,13.2,14.5
Tajikistan,,,,,,0.00015,,,,0.0516,0.0507,0.0597,0.0624,0.0652,0.0686,0.072,0.0739,0.071,0.0693,0.0676,,
Turkmenistan,,,,,,,,,,,0.00152,0.00929,0.0142,0.0213,0.0266,0.0335,0.0421,0.0539,0.0706,0.0868,,
Timor-Leste,,,,,,0.00095,0.00134,0.00221,0.00285,0.00482,0.00673,0.0438,0.0457,0.0494,0.053,0.0607,0.0875,0.0859,0.0543,0.0528,0.0476,0.0464
Tonga,,,,,0.0111,0.0221,0.333,0.639,0.622,0.76,0.697,0.963,1.06,1.26,1.46,1.67,1.78,2.44,2.97,2.94,2.44,3.54
Trinidad and Tobago,,,,,0.0138,0.0689,0.328,0.833,1.58,2.71,6.5,9.85,12.3,12.9,15,15.7,18.2,20.3,18.6,23.6,24.6,24.3
Tunisia,,,,,0.00026,0.0026,0.0283,0.174,0.43,0.931,2.18,3.54,4.53,5.21,4.86,4.75,5.13,5.13,5.66,7.01,8.77,10.2
Turkey,,,,0.017,0.0326,0.302,0.862,2.34,4.03,6.83,8.18,9.04,9.81,10.3,10.5,11.7,11.5,12.1,13.2,14.7,16.3,17.1
Tuvalu,,,,,,,0.507,1.5,2.47,2.64,2.81,0.959,2.28,4.23,4.19,4.14,4.1,4.05,4.01,3.96,,
Tanzania,,,,,,,,0.00673,0.00758,0.00834,0.0153,0.0161,0.017,0.0619,0.0878,0.116,0.169,0.206,0.6,1.4,1.53,1.79
Uganda,,,,,,,,0.00307,0.00423,0.00631,0.0158,0.0191,0.0432,0.106,0.111,0.116,0.15,0.211,0.232,,,
Ukraine,,,,,,,,0.277,1.12,1.72,3.46,4.15,6.45,6.96,8.04,8.86,9.31,11.6,12,12.4,12.8,16.2
Uruguay,,,,,,,0.813,1.46,3.21,4.95,7.32,9.48,11.4,14,17.2,21.7,24.7,26.4,26.9,27.7,28.3,29.2
United States,0.257,0.989,2.51,4.49,6.92,9.57,12.8,17.3,20.2,23.9,25.4,26.1,27.4,28.3,29.5,30.4,30.7,31.9,32.7,33.3,33.9,34.7
Uzbekistan,,,,,,0.0107,0.0211,0.0313,0.0322,0.0705,0.239,0.316,0.414,0.51,0.749,1.02,2.7,5.78,8.73,10.4,12.7,13.9
St. Vincent and the Grenadines,,,,0.0751,1,1.06,1.22,3.36,5.17,7.35,8.64,10.6,11.5,12.2,12.6,13.4,13.5,15.5,20,17.5,22.3,20.3
Venezuela,,,0.0185,0.149,0.311,0.458,0.809,1.35,2,3.15,4.04,5,5.88,6.29,6.94,7.5,7.99,8.61,8.76,8.87,9.02,8.98
British Virgin Islands,,,,,,,,,,,,28.4,24.7,25.8,26,21.4,22.1,22.8,21.2,16.9,15.8,
Virgin Islands (U.S.),,,,,,,1.37,2.75,,5.54,6.95,8.46,8.58,,,8.64,8.66,8.57,,,,
Vietnam,,,,,0.00132,0.0112,0.0635,0.251,0.61,1.52,2.38,3.69,4.17,4.32,5.32,5.68,6.54,8.26,9.72,11.9,13.6,15.3
Vanuatu,,,,,,0.00754,0.0113,0.0282,0.0443,0.0592,0.089,0.217,0.212,0.139,0.124,0.121,1.73,1.58,1.58,,,2.63
Samoa,,,,,,,0.0179,0.0362,0.0542,0.0714,0.0873,0.108,0.108,,0.573,0.649,1.05,1.08,1.11,0.866,,
Yemen,,,,,,,,0.00745,0.0134,0.0517,0.119,0.24,0.363,0.458,0.684,1.02,1.32,1.49,1.02,1.33,1.36,
South Africa,,,,,0.00578,0.0435,0.127,0.345,0.691,0.77,0.856,0.953,1.45,1.74,2.1,3.01,3.13,2.54,2.05,1.97,1.92,2.14
Zambia,,,0.0002,0.00029,0.00044,0.00081,0.00216,0.00211,0.0192,0.032,0.0444,0.081,0.0755,0.117,0.104,0.0901,0.133,0.147,0.194,0.213,0.416,0.498
Zimbabwe,,,,0.00647,0.0238,0.0533,0.0746,0.0843,0.0839,0.124,0.145,0.376,0.26,0.264,0.548,0.778,1.12,1.19,1.22,1.32,1.41,1.4
